p_id,cid,uid,uname
1098837086877710_1153644451396973,1153661701395248,user,564495990331649,Hoaii Thuongg
1098837086877710_1153644451396973,1153661701395248,user,559289507518219,Tuấn Hoàng
1098837086877710_1153167121444706,1153415884753163,user,764459653590333,Phát Ngô
1098837086877710_1149046878523397,1149048875189864,user,1529161823977449,Bùi Ngọc
1098837086877710_1149046878523397,1149049818523103,user,240085666195546,Thành Văn Nguyễn
1098837086877710_1149046878523397,1149051601856258,user,246287892440280,An An
1098837086877710_1149046878523397,1149068645187887,user,585560451541889,Minh Hoàng
1098837086877710_1149046878523397,1149091051852313,user,348183282034548,Tú Anh Nguyễn
1098837086877710_1149046878523397,1151835951577823,user,179880535683348,Mộc An Chi
1098837086877710_1149116068516478,1149117368516348,user,574457119329014,Tuấn Trung
1098837086877710_1149116068516478,1149117401849678,user,462602103873506,TuanAnh Nguyen
1098837086877710_1149116068516478,1149121161849302,user,398999603637225,Lại Phương Thảo
1098837086877710_1149116068516478,1149124108515674,user,459861477479483,Cuong Luu
1098837086877710_1149116068516478,1149130878514997,user,100003204888637,Duc Anh Revilo
1098837086877710_1151831568244928,1151867591574659,user,179880535683348,Mộc An Chi
1098837086877710_1151831568244928,1151879271573491,user,179880535683348,Mộc An Chi
1098837086877710_1151376111623807,1151377384957013,user,315345732003845,Lê Thiên Bảo
1098837086877710_1150774148350670,x,user,281340955664714,Thảo Vít
1098837086877710_1149778645116887,x,group,1763791687203413,29TE_TLU 👍🏻👍🏻👍🏻👍🏻👍🏻
1098837086877710_1150769451684473,1150774888350596,user,1475597276097631,An
1098837086877710_1150769451684473,1150794495015302,user,1412850885692860,Lan Anh Phạm
1098837086877710_1150769451684473,1150794495015302,user,294994590687948,Nguyễn Duy
1098837086877710_1150769451684473,1150794495015302,user,1475597276097631,An
1098837086877710_1150769451684473,1150794495015302,user,579229115542324,Quang Anh
1098837086877710_1150769451684473,1150794495015302,user,314765055342345,Đỗ Tiến Thành
1098837086877710_1150769451684473,1150794495015302,user,1484902205058084,Thuận Nguyễn
1098837086877710_1150769451684473,1150798411681577,user,1412850885692860,Lan Anh Phạm
1098837086877710_1150769451684473,1150798411681577,user,294994590687948,Nguyễn Duy
1098837086877710_1150769451684473,1150798411681577,user,1475597276097631,An
1098837086877710_1150769451684473,1150798411681577,user,579229115542324,Quang Anh
1098837086877710_1150769451684473,1150798411681577,user,314765055342345,Đỗ Tiến Thành
1098837086877710_1150769451684473,1150798411681577,user,1484902205058084,Thuận Nguyễn
1098837086877710_1150769451684473,1150798411681577,user,720217098029023,Jay Hok
1098837086877710_1150769451684473,1150798411681577,user,1508913216047844,Bùi Trang
1098837086877710_1150769451684473,1150798411681577,user,650368471702293,Thủy Tiên
1098837086877710_1150769451684473,1150800148348070,user,1412850885692860,Lan Anh Phạm
1098837086877710_1150769451684473,1150800148348070,user,650368471702293,Thủy Tiên
1098837086877710_1150769451684473,1150802205014531,user,1505695573040877,Nguyễn Khánh Linh
1098837086877710_1150769451684473,1150810885013663,user,1505695573040877,Nguyễn Khánh Linh
1098837086877710_1150897915004960,1150903768337708,user,458029201009124,MInh Nguyễn
1098837086877710_1150774148350670,1150790018349083,user,720217098029023,Jay Hok
1098837086877710_1150905811670837,1150919095002842,user,1425953757663137,Jim Ng
1098837086877710_1150870978340987,1150871858340899,user,315345732003845,Lê Thiên Bảo
1098837086877710_1150870978340987,1150872105007541,user,10152665889068427,Đậu Hải Phong
1098837086877710_1150870978340987,1150908371670581,user,1499909703630229,Nguyễn Hoàng Anh
1098837086877710_1148272481934170,1148272861934132,group,1648669308779395,"Forum Bóng Đá TLU- Bắt Đối, Tìm Người,Chống Cháy"
1098837086877710_1149945768433508,1149949671766451,user,693678840731083,Đỗ Đức Toàn
1098837086877710_1149082901853128,1149151881846230,user,125360477797177,Trung Hiếu
1098837086877710_1149082901853128,1149652515129500,user,437319186432230,Anh Đức Nguyễn
1098837086877710_1146484985446253,x,user,315345732003845,Lê Thiên Bảo
1098837086877710_1146406348787450,x,group,1106319559445425,TLU-Cộng đồng C++
1098837086877710_1148183108609774,1148308935263858,user,650033335107085,Nam Do Thanh Pham
1098837086877710_1148891108538974,1148949791866439,group,652753378227228,Tiếng Việt TH Thứ6(3-5)
1098837086877710_1134543786640373,1148962618531823,user,100003204888637,Duc Anh Revilo
1098837086877710_1134543786640373,1148962618531823,user,298921273638940,Trần Diệu
1098837086877710_1147395798688505,1148320465262705,user,650033335107085,Nam Do Thanh Pham
1098837086877710_1147226035372148,1147916848636400,user,521983757942500,TuanAnh Vũ
1098837086877710_1147131768714908,1147139965380755,user,1434282236880334,Thùy My
1098837086877710_1142408035853948,x,user,348866201956228,Ngọc SuKi
1098837086877710_1146345752126843,1146347705459981,user,157591047964145,Nguyễn Quốc Việt
1098837086877710_1146237848804300,1146264828801602,group,1226349017429122,Toán-Tin NNLAPTRINH.4 K29
1098837086877710_1145322015562550,1145337438894341,user,285557868551989,Hà Dân
1098837086877710_1145022318925853,1145087875585964,user,203633346718119,Hằng Alice
1098837086877710_1141472622614156,1141479185946833,user,1499909703630229,Nguyễn Hoàng Anh
1098837086877710_1141276705967081,1141339922627426,user,1499909703630229,Nguyễn Hoàng Anh
1098837086877710_1139799876114764,1139801042781314,user,574457119329014,Tuấn Trung
1098837086877710_1140564186038333,1140570489371036,user,120997131678770,Nguyễn Hoàn
1098837086877710_1140564186038333,1140570489371036,user,693678840731083,Đỗ Đức Toàn
