p_id,p_message,p_created_time
1098837086877710_1332162040211879,"Có thể bạn chưa biết? Tất cả các bạn Toán tin k29 đều đã được tạo tài khoản email sinh viên và tài khoản dreamspark.
Nếu các bạn chưa biết các kích hoạt thì làm như sau:
B1: Truy cập vào trang https://daotaotructuyen.thanglong.edu.vn, tiến hành login theo mã sinh viên của mình. Sau khi đăng nhập thành công các bạn nhìn xuống góc dưới bên trái màn hình dòng ""Link nhận Mật khẩu Tài khoản MS-O365"", các bạn click vào đó để lấy mật khẩu khởi tạo cho các tài toản là: email sinh viên, office 2016
Bước 2: Các bạn truy cập vào trang gmail.com login với các thông tin như sau: masv@thanglong.edu.vn pass: lấy trong bước 1. Sau khi login thành công các bạn tiến hành thay đổi mật khẩu. Để tiện cho sau này nếu có lỡ quên mk thì đề nghị các bạn thiết lập số điện thoại và email cá nhân. (với mail cá nhân các bạn sẽ có rất nhiều lợi ích đến từ google như drive unlimited,....)
Bước 3: tiến hành kiểm tra email sinh viên, sẽ có một mail kích hoạt tài khoản dreamspark các bạn làm theo thư và tiến hành thiết lập mật khẩu cho tài khoản dreamspark. Để tiện cho việc truy cập các bạn có thể nhớ đường link sau: dreamspark.thanglong.edu.vn
(Có tài khoản dreamspark, các bạn có thể dùng bản quyến rất nhiều các dịch vụ của microsoft như windows, dev,...)
Bước 4: Để cài đặt office bản quyền miễn phí các bạn tiến hành quay lại bước 1, ở góc bên dưới tay trái các bạn chọn vào mục ""Cách ReActivate Office 365"" và làm theo hướng dẫn.

Khi có tài khoản email các bạn có thể hưởng rất nhiều dịch vụ ưu đãi từ các tổ chức, công ty như: github education (https://education.github.com/) rất nhiều ưu đãi như khóa học IT free, github private, VPS free, azure, tên miền free, ...",2017-04-21T12:22:26+0000
1098837086877710_1352698188158264,"Ai có email của thầy Duy không, cho mình xin với",2017-04-18T06:18:02+0000
1098837086877710_1352665164828233,"Một số bạn qua môn lập trình hướng đối tượng nhưng bị vướng môn logic mà không đăng ký được môn kỹ thuật số thì mail cho mình hỗ trợ nhé, huett@thanglong.edu.vn. Đến hết trưa mai 19/4/17 thôi",2017-04-18T04:24:42+0000
1098837086877710_1349348285159921,Các bạn sau liên lạc với mình để mình add vào nhóm nhé :D,2017-04-15T13:33:38+0000
1098837086877710_1347325768695506,Các bạn TI29 có thắc mắc hoặc cần giải đáp gì về đăng ký học thì đến a705 gặp mình vào chiều thứ 6 ngày mai 14/4/17 nhé- từ 16h-18h,2017-04-13T15:26:50+0000
1098837086877710_1341006085994141,"Thôi thôi, có khoảng hơn 40 bạn TI29 chưa đi họp nhưng mình nhận được hơn 40 thư và tin nhắn xin không đi họp vậy mình huỷ cuộc họp chiều nay thứ 6 ngày 7/4/17 nhé. Bạn nào có ý kiến hay đề nghị gì thì điền vào google form này nhé: https://docs.google.com/forms/d/e/1FAIpQLSdy0DpdVvJULDMj9CkvPBj--WlX1LstKXzeyqCJtgHfDwntcw/viewform?c=0&w=1",2017-04-13T01:06:15+0000
1098837086877710_1344547862306630,Ai có đề thi C2 các kì trước cho em xin tham khảo với ạ 😂😂,2017-04-10T14:12:06+0000
1098837086877710_1344338382327578,Có ai có đề số và cấu trúc đại số cho e với ạ,2017-04-10T11:38:29+0000
1098837086877710_1341371719290911,em muốn chuyển sang khoa kinh tế ngành quản trị khinh doanh làm thế nào ạ,2017-04-07T13:07:04+0000
1098837086877710_1338994532861963,"Học kỳ 3 chỉ ép cứng môn tin đại cương còn các bạn tự đăng ký nhé. Một số bạn sinh viện TI29 hôm trước chưa đi họp lớp vậy các bạn họp lớp vào 5h chiều thứ 6 (17h) ngày 07/04/17 tại phòng A705. 
Một số bạn đã đăng ký chuyển khoa với mình mình đã lập danh sách nhờ phòng đào tạo huỷ ép cứng tin đại cương nhưng họ chưa làm ngay các bạn không cần nhắn tin gọi điện hỏi nữa nhé
Các bạn chưa đăng ký chuyển khoa với mình thì buộc phải đi họp nhé",2017-04-05T10:51:14+0000
1098837086877710_1338416706253079,Cho e hỏi kì 3 là lịch nửa ép cứng nửa tự đăng kí ạ? Hay ép cứng hết vậy ạ?,2017-04-04T18:35:57+0000
1098837086877710_1337842952977121,Hoàng Minh shared Thang Long Information Technology Club's post to the group: Toán Tin K29-TLU.,2017-04-04T02:41:14+0000
1098837086877710_1337813562980060,"Series video lập trình OOP hướng đối tượng C++ (có hướng dẫn trên ubuntu) Rất chi tiết từng khái niệm nên rất dễ hiểu cho mọi người.
Người trình bày: Tiến Hoàng
",2017-04-04T01:34:18+0000
1098837086877710_1232300756864675,Một vài đề kiểm tra c++ kỳ vừa rồi,2017-03-31T14:26:35+0000
1098837086877710_1332492910178792,"Tối mai bọn mình có tổ chức 1 buổi train cho cuộc thi sắp tới nhé
Thời gian: 18h30
Địa điểm: Seminar 5
Nội dung: CTF",2017-03-29T15:37:37+0000
1098837086877710_1332447556849994,"Đây là code về một số thuật toán, các bạn tham gia cuộc thi CODE BATTLE tham khảo nhé(lấy dùng luôn cx dc =))))",2017-03-29T14:24:27+0000
1098837086877710_1332344063527010,Nguyễn Hoàn uploaded a file in the group: Toán Tin K29-TLU.,2017-03-29T11:49:18+0000
1098837086877710_1329330523828364,"THÔNG BÁO HỌP LỚP TI29-  Nguyễn Mạnh Hùng
Các bạn sinh viên TI29 họp lớp vào chiều tối mai thứ 2 ngày 27/03/17 từ 18h00 với nộp dung hỗ trợ đăng ký học học kỳ 3 năm học 1617, thông báo nội quy lớp, chương trình học, cây tiến trình cho đến năm cuối. Đề nghị các bạn đi họp lớp đầy đủ. 

Bạn nào không đi họp phải mail lại cho giáo viên cố vấn nêu rõ lý do và gửi lại thông tin điên thoại địa chỉ mail của mình.

Lớp TI29g1 và TI29g2 họp tại phòng máy A705- Thầy Hùng - 0904.183.383- hung@thanglong.edu.vn

Lớp TI29 còn lại họp tại phòng máy A703 - Cô Huệ 0904.051.879- huett@thanglong.edu.vn",2017-03-29T09:09:14+0000
1098837086877710_1332111966883553,"Các ban chưa đăng ký mau mau đăng ký nhé hạn đến 20h
18h30 training tại seminar 5 đề nghị tất cả tham gia
THAM GIA TRAINING ĐẢM BẢO ĐƯỢC GIẢI",2017-03-29T05:54:47+0000
1098837086877710_1331630723598344,"Tối mai bọn mình có tổ chức 1 buổi train cho cuộc thi sắp tới nhé
Thời gian: 18h30
Địa điểm: Seminar 5",2017-03-28T16:07:31+0000
1098837086877710_1331592973602119,<3 <3 <3,2017-03-28T14:08:23+0000
1098837086877710_1330497833711633,"Tối nay bọn mình tổ chức 1 buổi train cho cuộc thi sắp tới nhé:
Thời gian: 18h30
Địa điểm: Seminar 5",2017-03-27T13:10:01+0000
1098837086877710_1329537413807675,Mọi người lập team 3 người rồi nhanh tham gia nào :D,2017-03-26T08:51:10+0000
1098837086877710_1323626654398751,"Đợt thi kỳ 2 nhóm 3 này có bạn nào thi lại thi nâng môn c1 không?
Bạn nào học lại c1 kỳ này cho mình xin mấy file bài tập học trong kỳ với.",2017-03-22T16:23:53+0000
1098837086877710_1322651841162899,mai có phải đi học quốc phòng nữa k đấy???,2017-03-19T04:33:27+0000
1098837086877710_1310759392352144,Ai có đề c1 hoặc c2 cho mình xin với nhé. thanks,2017-03-08T13:47:37+0000
1098837086877710_1310579685703448,Lớp C2 hôm nay nghỉ kỷ niệm ngày 8-3 nhé :3 Chúc các bạn nữ toán tin càng ngày càng xinh càng giỏi nhé :3,2017-03-08T10:50:49+0000
1098837086877710_1302246769870073,huhu em bao nhiêu lần thoát y trước mặt thằng đực rựa :(,2017-03-01T18:18:16+0000
1098837086877710_1302060306555386,"Ngày mai thứ 5 ngày 4/1/2017 lớp TI29 sẽ tổ chức đại hội chi đoàn:
+ Thời gian: 13h30' Nên 13h là các bạn phải có mặt đầy đủ rồi nhé (Y) 
+ Phòng B101 
Mong tất cả mọi thành viên TI29 tham gia đại hội đầy đủ :) 
Nếu vắng buổi sẽ ảnh hưởng đến kết quả tốt nghiệp và nếu đi không đủ 2/3 lớp thì sẽ phải tổ chức lại thế nên thành viên TI29 nhắn nhau đi dự đầy đủ giúp mình nhé (Y) (Y) (Y) 
~~ Vì nửa lớp kia mình k quen ai nên đăng lên đây (Y)",2017-03-01T15:16:01+0000
1098837086877710_1301964506564966,Hôm nay  vẫn học như bình thường nhé các Bạn :D,2017-03-01T11:44:23+0000
1098837086877710_1289691014458982,Đố mọi người teamwork đc như này :)),2017-02-18T12:29:59+0000
1098837086877710_1285984924829591,em có người bạn bị chặn live stream và chặn up video ? có ai biết kháng cáo vụ này giúp em ko ạ :(,2017-02-15T16:23:40+0000
1098837086877710_1283059001788850,"ảo thuật is real :')
",2017-02-12T09:07:08+0000
1098837086877710_1283011831793567,ai giúp mình cái break point với . nó dừng lại ở đó mà ko hiểu tại sao :/,2017-02-12T07:36:14+0000
1098837086877710_1278701738891243,"Chào các bạn, 
Dropbox là dịch vụ lưu trữ đám mây tốt nhất hiện nay. Nó giúp chúng ta lưu trữ, đồng bộ giữa mọi thiết bị: máy tính, điện thoại và các thiết bị khác. Nhược điểm của nó là tài khoản ban đầu chỉ có 2GB lưu trữ. Nhưng Dropbox cho phép chúng ta nâng thêm 500Mb dung lượng nếu mời thêm một người dùng. Hiện nay tài khoản của tôi đã gần hết. Nếu bạn nào có nhu cầu dùng xin hãy ấn vào link của tôi để tặng tôi thêm 500Mb. Trân trọng giới thiệu và cảm ơn. Link mời download của tôi: https://db.tt/PMoVmc9F",2017-02-07T17:36:10+0000
1098837086877710_1276429975785086,cho em hỏi là 1 tài khoản yahoo.com mà cái nick của nó là tài khoản đó.com.vn vậy nên facebook không gửi đc mã về hòm thư thì làm như nào ạ để nó gửi về yahoo.com thôi hoặc chuyển yahoo mình về .com.vn ạ ????? huhuhuh,2017-02-06T05:39:10+0000
1098837086877710_1276539322440818,"Spam đầu năm :D Có 1 thanh niêm chia sẻ 1 đống khoá học mắc tiền, k down đc nhanh tay treo máy share cho các bạn :D
",2017-02-05T12:52:51+0000
1098837086877710_1272221699539247,"cho em hỏi muốn có thẻ paypal, master card hay visa thì mua hay làm ở đâu ạ :/ ?",2017-02-01T18:45:58+0000
1098837086877710_1272039866224097,share code game kim cương. Ai thích thì chèn thêm đồ họa vào :v,2017-02-01T13:28:31+0000
1098837086877710_1266562366771847,bao h phải đi học v????,2017-01-28T14:42:00+0000
1098837086877710_1265539760207441,"Chúc mừng năm mới tới làng chúng ta 😊
Chúc các bô lão trường làng sống lâu nghìn tuổi và có sức khoẻ thật tốt và hạnh phúc bên gia đình để huấn luyện chúng con thật tốt 😇
Chúc các bậc tiền bối đi trước chưa có gấu thì năm nay có ạ  🐼 chúc các tiền bối sớm ra trường và đạt được mong muốn và sức khoẻ dồi dào 👍
Chúc các đồng nghiệp thật mạnh khoẻ và học tốt 👨🏻‍🎓👩🏻‍🎓",2017-01-27T17:46:32+0000
1098837086877710_1264688216959262,Problem ?,2017-01-27T04:02:42+0000
1098837086877710_1247336538694430,"Hi all,
Các bạn sinh viên bị cấm thi Ngôn ngữ lập trình (điểm quá trình <=4) không được học Lập trình hướng đối tượng mà học Ngôn ngữ lập trình vào sáng thứ 4 hàng tuần giờ 1-5 tại B503M (bắt đầu từ sáng mai). Buổi đầu tiên do mình thông báo muộn nên tạm nghỉ 2 giờ đầu, học bắt đầu từ 9h20. 
Thời khoá biểu của các bạn sẽ được huỷ môn Lập trình hướng đối tượng và thay bằng Ngôn ngữ lập trình.",2017-01-19T16:42:43+0000
1098837086877710_1255927774501973,"Bài tập về nhà của các bạn học lớp lập trình hướng đối tượng bài tập sáng thứ 7 nhé:

Tạo lớp Sinh Viên có các thuộc tính sau: mã sinh viên, tên sinh viên
điểm lý thuyết, điểm thực hành.Viết các phương thức get, set các 
thuộc tính của sinh viên, phương thức tính điểm tổng kết của sinh viên theo công thức sau: (điểm lý thuyết)*0.3+(điểm thực hành)*0.7,
 phương thức xếp hạng sinh viên:
_0<Điểm tổng kết<4: Hạng trung bình
_4<=Điểm tổng kết<=7:Hạng khá
_7<Điểm tổng kết<=10: Hạng giỏi
Viết chương trình nhập vào 1 danh sách sinh viên. Sắp xếp sinh viên theo điểm tổng kết,
in ra sinh viên có điểm tổng kết cao nhất và thấp nhất.

Các bạn làm rồi mai mình sẽ bảo cô Thanh mở chỗ nộp bài.",2017-01-19T16:38:22+0000
1098837086877710_1255524434542307,có bạn nào có máy tính cầm tay có thể cho mình mượn không mình ở self 7 nhé :(( cảm ơn các bạn :((,2017-01-19T11:31:10+0000
1098837086877710_1253924691368948,Ko phải tớ. Tớ ko nói như này :),2017-01-17T14:12:22+0000
1098837086877710_1252009664893784,Năm nay em đề nghị khoa toán tin mình tổ chức 1 buổi ăn mặn cho mọi người tất niên ạ :),2017-01-15T12:34:28+0000
1098837086877710_1250846291676788,"Có ai hiểu về merge sort cả insertion sort chỉ em/mình với ợ <("") có code càng tốt ợ",2017-01-15T11:40:24+0000
1098837086877710_1250922915002459,ngồi vắt óc mà chả hiểu cái code này nó chạy lần lượt ra sao :(,2017-01-15T05:59:32+0000
1098837086877710_1250806298347454,có bạn nào dùng dev c++ không thì mình hỏi cách lập trình hướng đối tượng phát,2017-01-14T15:34:38+0000
1098837086877710_1250145748413509,K29 thi thố xong hết rồi có thiết kế trận bóng cuối năm trước khi nghỉ Tết không nhỉ? Chủ nhật tuần này....vì CN tuần sau nghỉ rồi. Ai thiết kế được sận quang khu vực gần trường không?,2017-01-14T11:51:21+0000
1098837086877710_1247173828710701,30' ra facebook =)))) Mark tuổi tôm =))),2017-01-10T10:20:01+0000
1098837086877710_1246332285461522,Đã có điểm thi cập nhật mới nhất môn NNLT (K1N3-1617) rồi nhé. Các bạn vui lòng kiểm tra lại. Thanks,2017-01-09T10:19:06+0000
1098837086877710_1243717572389660,"- Bạn nào học yếu C1 nếu cảm thấy khó mình có thể giúp để 9/1 các bạn thi lại. Nếu thấy khó đừng ngại. Mình sẽ giúp các bạn có thể qua trên này hoặc tại trường. :)
- Mình ko giỏi nhưng mình hứa sẽ cố gắng giúp các bạn được điểm khá nếu bạn cố gắng 💚
-
Chúc các bạn thi tốt trong đợt tới.",2017-01-07T19:38:36+0000
1098837086877710_1244601368967947,"Em nghe nói nếu làm đc 5/6 bài là đc 9,5 ạ ? Vậy ? Em sao đc 9 ạ :'( 😭 em tiếc mấy hôm nay rồi :(",2017-01-07T16:02:30+0000
1098837086877710_1244476165647134,Cho mình hỏi 2 môn này là môn gì và học ở đâu thế,2017-01-07T12:15:19+0000
1098837086877710_1244392642322153,x,2017-01-07T04:51:12+0000
1098837086877710_1243884689039615,"Bạn nào muốn học C1 lại ko. mình dạy lại cả phần đầu là vòng lặp luôn. mình sẽ giảng dễ hiểu nhất cho các bạn. ai muốn mình add nhé. 
Ai điểm cao đừng vô troll để các bạn học :)",2017-01-07T03:14:42+0000
1098837086877710_1243699662391451,"BM Tin tổ chức thi lại Ngôn ngữ lập trình cho một số sinh viên bị điểm kém trong kỳ thi NNLT khuyến nghị theo danh sách dưới đây, lần thi này không tính là một lần thi lại 
Thời gian Chiều thứ 2 ngày 09/01/17 tại phòng máy A703. Từ 13h00-15h00. Sau thời gian trên mọi thắc mắc không được giải quyết.",2017-01-06T10:21:34+0000
1098837086877710_1241904142571003,Bạn nào có mail cô Hà Thu Giang giảng viên môn Excel cho mình xin với....,2017-01-06T03:45:17+0000
1098837086877710_1243457815748969,Đã có điểm thi môn NNLT-K1N3-1617 rồi các bạn ơi. Các bạn vào xem và kiểm tra lại điểm của mình nha :),2017-01-06T02:22:42+0000
1098837086877710_1242721585822592,ai đó soi cho em con chuột kia hãng nào phát nhìn đẹp quá,2017-01-05T06:09:33+0000
1098837086877710_1241406249287459,hôm nay em thi ở phòng 7-3 nnlt có làm quên cái máy tính bỏ túi fx 570 vn. ai biết thầy cô tag giúp em với hiuhiu :(,2017-01-03T16:56:13+0000
1098837086877710_1237335339694550,Có ai có thời gian của các giờ học ko ???,2016-12-30T09:32:13+0000
1098837086877710_1236919749736109,các đại ca sáng mai 8h đăng kí học tiếng anh trên trang chủ nhé :v nhanh ko bị cướp :3,2016-12-29T17:08:45+0000
1098837086877710_1236742829753801,các anh/chị/bạn cho em/tớ hỏi là năm nay thi c1 có lý thuyết à ?????,2016-12-29T14:13:45+0000
1098837086877710_1236577486437002,"want to chat ?
01010111010101010101010110101010101010101010110101010101010101010101010101010101010100101010101
",2016-12-29T11:57:17+0000
1098837086877710_1234190423342375,Các anh chị em ơi. Có ai có đáp án đề logic kì trước ko. Post lên phát,2016-12-26T11:56:36+0000
1098837086877710_1233431076751643,Lương Minh Nghĩa shared Thang Long University's photo to the group: Toán Tin K29-TLU.,2016-12-25T14:31:56+0000
1098837086877710_1231638026930948,bạn nào có đề thi lập trình năm trước cho t xin vs,2016-12-23T09:27:07+0000
1098837086877710_1229899803771437,Kiếm đâu ra đề thi toán logic năm trc nhỉ 😭😭😭,2016-12-21T04:58:10+0000
1098837086877710_1227824927312258,em bị như này là sao ạ ? do máy chủ hay sao ý -_-,2016-12-18T16:53:05+0000
1098837086877710_1225319877562763,"sáng mai là hội trường, mn ai có loa máy tính ( cỡ trung ) thì cho mình mượn nhé!!!",2016-12-15T23:45:37+0000
1098837086877710_1217203818374369,"Học thôi :3
",2016-12-15T18:35:30+0000
1098837086877710_1225095674251850,"Chào các bạn. 

Mình là Đức. Ngày hôm nay mình quyết định dành thời gian để viết bài này và đăng lên các group facebook cũng như các trang mạng xã hội. Cách đây không lâu, nhà chị mình có được một đàn Poodle Siêu đáng yêu ra đời. Đến thời điểm hiện tại, các bé Poodle nhà mình chỉ còn 5 ngày nữa là tròn 2 tháng. Thời gian gần đây các bé cũng đã lớn nên cả nhà muốn tìm một mái nhà mới cho các bé. Nhà mình đang có 5 bé Poodle. 2 em cún đực - màu vàng 9999 (đem lộc về nhà). 2 em cún đực - màu PARTY trắng tai kem. 1 em cún đực - màu trắng tinh như cục bông tuyết (trắng tinh như Ngọc Trinh). Đã tiêm phòng và tẩy giun. Vì nhà chật và các bé đông quá, nay mình muốn đưa các bé về nhà mới, và điều mình cần nhất đó chính là một ngôi nhà chan chứa tình yêu thương của các thành viên trong gia đình dành cho bé. Đối với mình, các bé như là một gia đình. Mình luôn muốn những điều tốt đẹp nhất đến với các bé, vậy nên mình muốn tìm những cô cậu chủ mới cho bé, để bé được yêu thương và chăm sóc nhiều hơn. Công việc của mình cũng bận hơn nên mình muốn tìm chủ cho các bé nhanh nhất và sớm nhất. 

Cám ơn các bạn. Các bạn hãy giúp mình chia sẻ bài viết này để các bé Poodle Siêu Đáng Yêu Nhà Mình sớm tìm được một mái nhà mới bạn nhé ^_^ 

Liên hệ với mình qua: (Tiện nhất các bạn cứ nhắn tin vào facebook mình nhé ^^)
-Số điện thoại: 0128.22.33.238
-Facebook: https://facebook.com/duc.phung.3154
-Email: luckyboy0404@gmail.com",2016-12-15T15:17:40+0000
1098837086877710_1224079791020105,em cần lắm ai đó dạy toán logic. em nói thật là em không biết làm tý gì luôn :'(,2016-12-14T15:50:12+0000
1098837086877710_1223657537728997,"ACE học QP chiều nay nhớ mang thêm quần áo để thay trả quần áo nhé :v 
Không lại k có quần áo mà mặc đi về :3",2016-12-14T05:32:59+0000
1098837086877710_1216903555071062,gì đây -_-,2016-12-08T02:57:01+0000
1098837086877710_1216877651740319,code thử vài ngày xem các bác có bị high ko :v,2016-12-08T02:18:26+0000
1098837086877710_1216254355135982,Pha nghịch ngu của Quang Anh =))),2016-12-07T16:49:47+0000
1098837086877710_1216159955145422,"#ThongBao: Lớp Ngôn Ngữ Lập Trình 1.

Lớp T4 - 6h30 vào lớp hôm trước là buổi cuối, các bạn hôm nay không cần đến nhé không mất công :v",2016-12-07T10:16:37+0000
1098837086877710_1215425905218827,"Sáng mai ai học bù toán logic mà muốn chơi boardgame thì đọc trước qua cái này nhé
Mai sẽ nói lại luật rõ hơn thôi cho nhanh :3
Trò này vui vl nên ai k chơi thì phí vl nhé",2016-12-06T15:32:39+0000
1098837086877710_1210122625749155,"Chơi game kahoot nào các bạn ơi.
Mục đích game này có nội dung xoay quanh kiến thức c++ nhằm ôn lại kiến thức trước khi thi. Và mình muốn test hiệu năng hệ thống Video conferencing TLIT mới setup trên hệ thống của club.
Thời gian: 10h30 tối nay ngày 1/12/2016
Địa điểm tại hệ thống của club: http://e.thanglongit.me
=================
CÁC BƯỚC THỰC HIỆN
1. Đăng nhập vào hệ thống bằng facebook 
2. Di chuyển vào khóa học Ngôn ngữ lập trình C++ trên trang chủ
3. Pass enroll: TLIT2016

Hẹn gặp các bạn vào lúc 10h30 game này rất hay và vui :)",2016-12-03T06:40:02+0000
1098837086877710_1211290105632407,"Thông báo đổi lịch học lớp lập trình UWP - #TechCourse
Do phía MSP bận tổ chức sự kiện IoT nên thời gian lớp #TechCourse sẽ thay đổi một chút.
Thời gian: Chủ nhật, 8h - 11h30 
Địa điểm: seminar 5
Mọi người nhớ post bài về nhà lên group nhé :D",2016-12-02T14:37:36+0000
1098837086877710_1210333759061375,"Kết thúc game, và đây là top 5 của chúng ta",2016-12-02T13:05:18+0000
1098837086877710_1210281729066578,"Alo, các bạn vô lớp để chuẩn bị chơi game kahoot C++ nào.
CÁC BƯỚC THAM GIA LỚP:
1. Đăng nhập vào hệ thống bằng facebook 
2. Di chuyển vào khóa học Ngôn ngữ lập trình C++ trên trang chủ
3. Pass enroll: TLIT2016
4. Click Game C++ kahoot
5.  Join session",2016-12-01T16:31:23+0000
1098837086877710_1208672762560808,Thuận Nguyễn shared Thanh Hà's post to the group: Toán Tin K29-TLU.,2016-11-30T05:35:59+0000
1098837086877710_1207996239295127,"1. Lịch học thực hành K29 môn GDQP như sau: Từ 05/12 đến 17/12/2016

2. Thời gian học: Buổi sáng 07h00 đến 11h00; buổi chiều từ 13h00 đến 17h00
- Khối 10 gồm: TE29c1, d1, e1, g1; TI29a1, b1, c1, d1, e1, g1, g2;
khối 10 buổi chiều học tại Trường ĐHSP HN. Địa chỉ: 136 Xuân Thủy Cầu Giấy, Sân sau nhà Hiệu Bộ gần giảng đường trường Chuyên ĐHSP và Trường Đại học Công Nghệ thuộc Trường ĐHQG có các thầy giáo đón sinh viên tại cổng trường hướng dẫn vào địa điểm học.",2016-11-29T13:49:45+0000
1098837086877710_1207952215966196,"#Thông_báo
Chào các bạn k29,

Các bạn học môn C++ lớp thực hành chiều t5 - Cô Thanh. Mọi người sắp xếp từ thứ 4 - 7 học bù một buổi để kiểm tra.
Nếu được thì tốt nhất là học luôn 5 tiết 6-10 của thứ 5.
Các bạn cho ý kiến nhanh để cô đăng ký lịch học bù.",2016-11-29T13:47:53+0000
1098837086877710_1203189929775758,Make Visual Studio more beautiful!,2016-11-29T04:31:58+0000
1098837086877710_1207766699318081,"hay là chúng mình bán cái này đi :3 nguồn Nam Hoài Nam
  https://www.facebook.com/vtc1tintuc/videos/663295013848764/",2016-11-29T03:53:13+0000
1098837086877710_1203328636428554,"Thông báo về lịch học TechCourse và buổi MIT giới thiệu Imagine Cup sáng thứ 7 tuần này ( 26/11 )
+ Thời gian: 
- 8h30 - 9h30, phòng A705, sự kiện MIT giới thiệu Imagine Cup.
- 9h30 - 11h, seminar 4, khóa học TechCourse.

Mọi người check email và trả lời email kèm gửi link facebook của ban tổ chức nhé.",2016-11-25T04:04:21+0000
1098837086877710_1203772883050796,"Anh chị em nào tham gia TechCourse thì tham gia group này nhé
https://www.facebook.com/groups/167110180423640/",2016-11-25T03:30:09+0000
1098837086877710_1202793696482048,Hoàng Minh shared Thang Long Information Technology Club's post to the group: Toán Tin K29-TLU.,2016-11-24T08:57:19+0000
1098837086877710_1202877826473635,trất'ss Subin tùng sơn hát hay quá :v,2016-11-24T08:33:27+0000
1098837086877710_1202390343189050,:)),2016-11-23T15:21:02+0000
1098837086877710_1201684293259655,"cho em hỏi trong phần học tin có ép buộc phải học exel và word ko nhỉ :/ 
-
-
-
-
-
em thề là em ko biết xài word và exel :)) ko biết làm thế nào cho chữ to hay bla bla :v",2016-11-23T02:46:12+0000
